group,measurement
control,690.8058
control,603.9149
control,285.4074
control,1016.5878
control,803.1498
control,506.3277
control,519.1552
control,719.224
control,-69.8014
control,504.8356
control,513.022
control,717.1471
control,559.1355
control,319.4183
control,161.7152
control,498.4711
control,714.9241
control,711.8052
control,655.4481
control,623.6485
control,713.7207
control,423.7332
control,897.2181
control,-31.3504
control,232.3027
control,293.9185
control,971.218
control,993.1093
control,840.7216
control,837.5554
control,610.191
control,485.4892
control,871.154
control,761.0556
control,521.4177
control,775.5391
control,399.6585
control,546.9641
control,799.342
control,573.4167
control,358.4433
control,411.1604
control,668.563
control,315.0712
control,-44.5073
control,884.0928
control,479.5695
control,416.8691
control,417.6163
control,182.2555
control,514.3349
control,520.9122
control,637.0573
control,212.3437
control,412.3997
control,823.2648
control,496.0397
control,246.0743
control,293.7882
control,385.0697
control,866.8649
control,494.2967
control,538.4665
control,287.8097
control,346.8972
control,1030.1661
control,728.2673
control,574.6564
control,900.9688
control,569.3974
control,632.1381
control,540.3075
control,503.856
control,549.2583
control,881.5841
control,722.1981
control,562.0153
control,766.0023
control,573.5456
control,650.3574
control,535.5787
control,546.9387
control,938.118
control,487.6435
control,301.0844
control,417.962
control,469.3765
control,911.7025
control,578.3109
control,431.0866
control,153.1637
control,933.9333
control,107.8391
control,856.0348
control,840.5801
control,382.8875
control,526.7049
control,544.4429
control,569.6682
control,400.693
control,406.5284
control,541.854
control,131.5175
control,426.3236
control,707.3737
control,630.187
control,745.0813
control,355.6405
control,544.7701
control,852.4511
control,653.075
control,95.0492
control,714.4161
control,461.8056
control,431.0182
control,272.2431
control,379.4895
control,627.405
control,584.8587
control,822.848
control,45.2076
control,79.1347
control,752.2375
control,215.6803
control,548.2987
control,966.6228
control,437.4526
control,1062.5838
control,788.6645
control,536.3301
control,386.7862
control,654.0825
control,471.5516
control,465.1014
control,737.762
control,674.6642
control,966.5824
control,504.874
control,551.2823
control,921.4095
control,697.4538
control,346.7913
control,347.7704
control,359.0584
control,210.8614
control,332.1274
control,469.632
control,194.8821
control,1115.3318
control,471.778
control,318.4225
control,667.8842
control,767.2347
control,514.7192
control,282.9685
control,956.2024
control,958.8428
control,579.7495
control,323.7448
control,664.2303
control,139.4185
control,920.9661
control,847.7472
control,703.0489
control,336.6448
control,869.4831
control,569.7602
control,505.0457
control,737.5471
control,422.0714
control,606.1131
control,558.0661
control,453.8165
control,36.3614
control,384.266
control,840.3324
control,451.71
control,1371.4821
control,1008.3949
control,555.9722
control,692.4201
control,1290.736
control,519.8022
control,510.3712
control,572.8641
control,643.5254
control,461.7245
control,471.8031
control,945.1145
control,609.7277
control,451.5987
control,696.4385
control,684.6109
control,454.6024
control,464.443
control,622.1353
control,637.2463
control,970.8554
control,367.6471
control,461.1687
control,685.2613
control,708.4047
control,141.6303
control,659.9978
control,391.9935
control,793.2432
control,404.5405
control,540.476
control,637.8088
control,670.5975
control,553.0451
control,514.0797
control,371.9197
control,449.2262
control,269.2958
control,969.3908
control,623.3918
control,224.4141
control,748.0784
control,222.1223
control,386.1973
control,590.8153
control,356.7168
control,535.5581
control,713.8975
control,155.2425
control,967.6206
control,763.212
control,443.3788
control,1081.9406
control,336.9862
control,852.5309
control,522.3814
control,1061.883
control,678.9597
control,552.6444
control,561.5974
control,575.521
control,567.1327
control,519.8693
control,498.7843
control,449.3718
control,597.8805
control,659.8886
control,750.0449
control,649.0292
control,588.4323
control,495.4261
control,645.3904
control,636.661
control,507.1944
control,845.0232
control,763.7715
control,433.299
control,415.4025
control,461.344
control,603.1246
control,398.4365
control,548.2611
control,706.8405
control,535.9091
control,641.7855
control,474.7921
control,384.1913
control,676.306
control,178.5717
control,1185.947
control,357.2324
control,414.8182
control,526.1895
control,437.863
control,442.4051
control,673.2343
control,562.5727
control,486.4345
control,236.7974
control,367.3712
control,627.5467
control,631.9246
control,259.509
control,549.4535
control,3.5306
control,692.3806
control,492.9718
control,846.7957
control,701.6704
control,875.2244
control,503.1072
control,582.7747
control,396.1851
control,810.2029
control,626.9956
control,557.3744
control,889.4565
control,154.8898
control,844.8398
control,402.8394
control,615.1404
control,153.1515
control,637.2473
control,417.6636
control,318.9383
control,936.7469
control,269.7771
control,498.0701
control,706.4319
control,715.2218
control,277.5035
control,508.9416
control,1013.1909
control,489.414
control,1042.1587
control,673.376
control,724.3015
control,56.7166
control,495.9918
control,909.5172
control,497.1428
control,407.8339
control,494.9796
control,724.8586
control,369.8918
control,477.1668
control,373.887
control,331.5782
control,986.8485
control,294.079
control,769.7169
control,629.2335
control,887.5449
control,752.7248
control,582.5243
control,834.1869
control,499.8336
control,599.6295
control,417.114
control,471.7507
control,705.7231
control,282.23
control,946.2331
control,697.5606
control,975.1842
control,603.7482
control,491.406
control,858.0703
control,888.8629
control,390.9327
control,648.9867
control,659.2558
control,557.4038
control,323.917
control,302.8315
control,1179.2909
control,882.022
control,983.2281
control,202.39
control,40.4446
control,921.4605
control,354.4181
control,835.8862
control,753.2514
control,759.9397
control,575.1737
control,847.1362
control,664.3428
control,471.5852
control,497.1846
control,309.7232
control,552.6398
control,722.5453
control,863.7695
control,519.9051
control,489.8791
control,401.262
control,536.7613
control,427.3739
control,598.8927
control,532.7102
control,1039.5238
control,535.2506
control,982.4584
control,455.0744
control,555.3069
control,540.3258
control,559.584
control,308.4284
control,492.5191
control,691.5592
control,674.3607
control,688.1457
control,477.4008
control,329.7401
control,708.5419
control,43.2047
control,906.3391
control,601.7057
control,814.875
control,558.4082
control,399.7567
control,888.0173
control,744.6706
control,601.574
control,474.3535
control,937.7545
control,972.2735
control,455.3092
control,437.0848
control,497.875
control,288.5068
control,548.4077
control,647.5893
control,164.8245
control,428.4346
control,825.0472
control,622.419
control,67.5994
control,651.2604
control,820.5941
control,850.5375
control,819.0602
control,463.1563
control,461.5303
control,506.6594
control,811.7789
control,352.6217
control,439.3753
control,706.9032
control,508.3609
control,231.8588
control,679.9158
control,855.6128
control,422.0458
control,556.8303
control,524.7885
control,607.9396
control,809.2355
control,679.6854
control,468.0874
control,447.5398
control,716.4619
control,267.4403
control,355.9843
control,676.9339
control,703.0722
control,411.417
control,554.2412
control,941.1277
control,265.2949
control,601.8721
control,341.7557
control,892.3739
control,317.0868
control,511.8927
control,570.6363
control,438.4852
control,521.0118
control,590.6622
control,742.1217
control,192.5439
control,540.2128
control,503.8516
control,504.931
control,981.9217
control,459.596
control,825.4406
control,719.3852
control,487.0696
control,717.7622
control,620.0921
control,694.217
control,459.5547
control,855.8834
control,484.2066
control,545.7344
control,891.809
control,561.5702
control,576.407
control,728.4711
control,1000.5324
control,467.6139
control,634.0717
control,693.011
control,522.0895
control,468.2909
control,848.4674
control,507.7684
control,940.5043
control,285.1864
control,670.4552
control,747.1364
treatment,769.1775
treatment,449.97
treatment,340.0097
treatment,464.4536
treatment,912.7158
treatment,966.1663
treatment,519.1833
treatment,1144.0695
treatment,610.3028
treatment,854.2647
treatment,658.5267
treatment,607.8087
treatment,887.5625
treatment,965.9018
treatment,934.2539
treatment,662.5794
treatment,737.8003
treatment,746.9377
treatment,1158.3723
treatment,464.3701
treatment,642.1575
treatment,443.5226
treatment,646.8407
treatment,551.8379
treatment,830.4169
treatment,416.3682
treatment,1109.239
treatment,814.9048
treatment,306.8038
treatment,477.2485
treatment,514.904
treatment,280.6244
treatment,988.4098
treatment,489.8917
treatment,531.3458
treatment,392.6967
treatment,673.1241
treatment,608.2684
treatment,681.9022
treatment,797.0831
treatment,533.6548
treatment,591.634
treatment,433.7835
treatment,76.7254
treatment,631.6417
treatment,307.9809
treatment,898.3838
treatment,707.1769
treatment,748.4656
treatment,583.4497
treatment,331.9515
treatment,905.5179
treatment,737.6962
treatment,392.175
treatment,922.7602
treatment,488.1645
treatment,876.8003
treatment,814.4558
treatment,632.2565
treatment,913.3847
treatment,810.1479
treatment,221.2125
treatment,872.7326
treatment,1200.7286
treatment,897.4751
treatment,682.6094
treatment,673.4306
treatment,505.4991
treatment,535.3376
treatment,633.2753
treatment,517.1028
treatment,667.3323
treatment,1149.5178
treatment,436.2408
treatment,947.9949
treatment,623.8648
treatment,642.8121
treatment,631.1489
treatment,1064.0754
treatment,568.3436
treatment,910.1309
treatment,957.4969
treatment,395.7906
treatment,740.6302
treatment,746.0069
treatment,734.1187
treatment,473.285
treatment,719.2512
treatment,646.8614
treatment,375.4087
treatment,474.781
treatment,506.7108
treatment,794.4577
treatment,1083.0037
treatment,644.0667
treatment,345.9057
treatment,508.5447
treatment,650.8365
treatment,511.8274
treatment,750.9467
treatment,608.6495
treatment,379.0173
treatment,972.4407
treatment,830.2854
treatment,659.1409
treatment,694.9993
treatment,669.8524
treatment,713.3575
treatment,388.2202
treatment,988.3488
treatment,911.0948
treatment,290.9538
treatment,252.0381
treatment,936.4132
treatment,592.1058
treatment,629.5511
treatment,664.2109
treatment,807.6654
treatment,1361.9172
treatment,673.2122
treatment,561.9729
treatment,562.0278
treatment,638.8033
treatment,495.9648
treatment,693.6749
treatment,643.1678
treatment,528.2646
treatment,481.4059
treatment,678.7267
treatment,519.2369
treatment,184.2555
treatment,531.0598
treatment,634.9936
treatment,365.2581
treatment,874.0348
treatment,853.2137
treatment,849.6626
treatment,700.5426
treatment,854.491
treatment,584.6623
treatment,402.1942
treatment,868.8906
treatment,910.7835
treatment,346.421
treatment,581.0205
treatment,683.2173
treatment,1049.9667
treatment,902.0459
