User ID,Measurement,Group
6604,14471,Control
6365,14405,Control
751,14457,Control
2181,14318,Control
6702,14265,Control
6105,14324,Control
1574,14368,Control
7576,14412,Control
3048,14621,Control
7823,14365,Control
2038,14264,Control
4666,14332,Control
6447,14319,Control
842,14423,Control
5511,14199,Control
1413,14377,Control
3862,14387,Control
3329,14396,Control
2613,14304,Control
6189,14344,Control
4675,14212,Control
5170,14315,Control
6041,14310,Control
5001,14416,Control
5030,14242,Control
1674,14457,Control
2345,14536,Control
1169,14140,Control
6087,14417,Control
1273,14445,Control
75,14299,Control
7303,14326,Control
2085,14355,Control
528,14337,Control
4072,14336,Control
229,14184,Control
1743,14498,Control
6620,14490,Control
6883,14280,Control
2729,14207,Control
2655,14428,Control
722,14306,Control
682,14386,Control
3043,14335,Control
3514,14447,Control
2851,14447,Control
233,14289,Control
7552,14216,Control
2170,14194,Control
3829,14438,Control
7256,14238,Control
6495,14314,Control
4858,14304,Control
6792,14364,Control
1020,14155,Control
2032,14391,Control
5168,14428,Control
2070,14380,Control
2080,14335,Control
4955,14381,Control
2020,14414,Control
1572,14062,Control
5725,14587,Control
6199,14413,Control
355,14298,Control
3174,14327,Control
808,14425,Control
1040,14357,Control
6679,14145,Control
6914,14599,Control
1440,14358,Control
2003,14483,Control
5163,14293,Control
3455,14541,Control
4760,14402,Control
3843,14438,Control
372,14254,Control
3561,14504,Control
4812,14447,Control
5776,14515,Control
5525,14300,Control
615,14317,Control
4269,14626,Control
645,14252,Control
6072,14355,Control
6704,14496,Control
6820,14381,Control
5110,14435,Control
1804,14326,Control
2203,14411,Control
1526,14225,Control
7991,14554,Control
1232,14357,Control
3481,14295,Control
2210,14444,Control
602,14319,Control
4625,14222,Control
1582,14221,Control
7636,14447,Control
6827,14352,Control
5529,14355,Control
4089,14490,Control
1479,14245,Control
5111,14289,Control
6923,14327,Control
4392,14380,Control
1508,14365,Control
892,14338,Control
7097,14363,Control
2325,14358,Control
1779,14290,Control
4660,14280,Control
7194,14400,Control
4781,14271,Control
84,14242,Control
489,14335,Control
4103,14352,Control
3840,14620,Control
7307,14292,Control
5938,14475,Control
7678,14453,Control
5192,14238,Control
3463,14456,Control
4140,14239,Control
5890,14075,Control
5233,14437,Control
7795,14175,Control
7926,14420,Control
3676,14294,Control
7448,14554,Control
7292,14489,Control
1345,14320,Control
5899,14294,Control
683,14235,Control
5812,14321,Control
5763,14339,Control
6665,14330,Control
791,14387,Control
7137,14434,Control
6675,14409,Control
1434,14285,Control
4357,14210,Control
7645,14521,Control
7310,14293,Control
3624,14298,Control
7432,14312,Control
3002,14165,Control
1087,14317,Control
1080,14317,Control
6318,14439,Control
5564,14448,Control
1077,14370,Control
7764,14473,Control
5156,14408,Control
5626,14368,Control
572,14388,Control
1262,14349,Control
5327,14326,Control
5265,14340,Control
2175,14245,Control
3015,14401,Control
5117,14260,Control
6433,14463,Control
4949,14342,Control
3484,14375,Control
6866,14425,Control
5543,14441,Control
6573,14196,Control
4568,14347,Control
140,14468,Control
5684,14182,Control
6892,14413,Control
4679,14120,Control
617,14257,Control
4644,14374,Control
4768,14186,Control
7695,14261,Control
4795,14207,Control
3904,14553,Control
7425,14388,Control
4052,14433,Control
3659,14345,Control
7390,14331,Control
5203,14191,Control
4631,14338,Control
5151,14285,Control
4790,14465,Control
7282,14497,Control
5653,14533,Control
4323,14465,Control
3698,14304,Control
6246,14246,Control
5008,14455,Control
6316,14410,Control
1411,14174,Control
6471,14409,Control
4017,14460,Control
6496,14377,Control
6233,14349,Control
6825,14280,Control
3373,14209,Control
7465,14459,Control
6685,14336,Control
773,14344,Control
394,14562,Control
2179,14446,Control
4410,14411,Control
166,14386,Control
592,14539,Control
1425,14561,Control
7203,14473,Control
5202,14435,Control
68,14137,Control
4403,14384,Control
1065,14356,Control
424,14380,Control
5676,14475,Control
5255,14066,Control
6585,14307,Control
3148,14400,Control
7483,14318,Control
3567,14213,Control
5068,14466,Control
4554,14401,Control
2233,14262,Control
4612,14405,Control
4081,14461,Control
6260,14371,Control
5856,14459,Control
2291,14379,Control
1030,14326,Control
3754,14241,Control
3644,14360,Control
5768,14392,Control
1147,14467,Control
3405,14357,Control
5980,14421,Control
5415,14263,Control
3313,14283,Control
409,14358,Control
3109,14253,Control
1356,14461,Control
6986,14421,Control
6843,14401,Control
99,14408,Control
6972,14594,Control
5210,14318,Control
272,14126,Control
5761,14392,Control
2091,14364,Control
4702,14313,Control
1595,14261,Control
2471,14321,Control
5408,14390,Control
5481,14314,Control
285,14638,Control
1044,14263,Control
1593,14282,Control
6138,14116,Control
5095,14398,Control
4272,14146,Control
845,14310,Control
426,14339,Control
1984,14291,Control
1448,14563,Control
6733,14480,Control
7767,14516,Control
1725,14272,Control
4427,14495,Control
6551,14425,Control
5817,14456,Control
1118,14484,Control
7712,14269,Control
2794,14323,Control
5007,14466,Control
337,14075,Control
3222,14538,Control
1091,14431,Control
6387,14365,Control
365,14394,Control
7272,14256,Control
5882,14331,Control
5873,14492,Control
4954,14514,Control
5375,14669,Control
2654,14362,Control
3250,14297,Control
6470,14313,Control
6532,14257,Control
2769,14361,Control
5773,14412,Control
4290,14366,Control
5888,14492,Control
7106,14344,Control
1796,14331,Control
4831,14305,Control
2373,14189,Control
3169,14196,Control
6580,14239,Control
203,14514,Control
1981,14469,Control
2292,14523,Control
6789,14222,Control
2853,14151,Control
3607,14297,Control
3418,14390,Control
6634,14425,Control
2230,14486,Control
4311,14402,Control
3823,14563,Control
6594,14345,Control
5242,14269,Control
2084,14183,Control
7497,14271,Control
2347,14397,Control
3759,14271,Control
6261,14474,Control
7628,14527,Control
2246,14107,Control
7062,14466,Control
2808,14121,Control
2295,14415,Control
774,14506,Control
7526,14377,Control
1276,14228,Control
2355,14305,Control
6815,14341,Control
2152,14350,Control
164,14347,Control
4001,14358,Control
6666,14394,Control
7700,14236,Control
6171,14343,Control
3768,14539,Control
3127,14327,Control
468,14321,Control
4454,14490,Control
3204,14086,Control
