User ID,Measurement,Group
51,175,Control
3,217,Control
188,194,Control
134,174,Control
12,184,Control
170,181,Control
128,218,Control
99,163,Control
90,180,Control
139,143,Control
75,88,Control
112,191,Control
103,198,Control
65,146,Control
142,243,Control
97,123,Control
96,171,Control
140,164,Control
118,219,Control
18,217,Control
136,175,Control
156,182,Control
179,142,Control
181,107,Control
182,159,Control
125,175,Control
47,209,Control
39,208,Control
171,158,Control
20,160,Control
57,136,Control
93,125,Control
157,115,Control
45,232,Control
137,154,Control
152,156,Control
173,130,Control
186,195,Control
169,118,Control
116,163,Control
67,141,Control
86,182,Control
200,154,Control
71,132,Control
158,169,Control
74,184,Control
95,172,Control
180,180,Control
34,150,Control
53,158,Control
154,148,Control
73,158,Control
23,144,Control
109,115,Control
50,176,Control
83,157,Control
153,118,Control
145,185,Control
42,141,Control
63,172,Control
126,193,Control
187,174,Control
10,206,Control
29,130,Control
192,183,Control
151,148,Control
144,142,Control
161,151,Control
174,160,Control
64,172,Control
100,133,Control
165,199,Control
143,185,Control
78,121,Control
9,218,Control
54,231,Control
85,208,Control
76,164,Control
17,136,Control
98,204,Control
33,157,Control
115,209,Control
113,177,Control
105,201,Control
122,181,Control
123,193,Control
60,170,Control
176,227,Control
70,174,Control
59,183,Control
111,230,Control
162,127,Control
5,129,Control
2,201,Control
184,132,Control
13,232,Control
1,157,Control
24,146,Control
167,232,Control
141,217,Control
51,219,Treatment
3,188,Treatment
188,131,Treatment
134,220,Treatment
12,150,Treatment
170,185,Treatment
128,189,Treatment
99,154,Treatment
90,179,Treatment
139,189,Treatment
75,171,Treatment
112,124,Treatment
103,169,Treatment
65,201,Treatment
142,137,Treatment
97,154,Treatment
96,145,Treatment
140,218,Treatment
118,181,Treatment
18,172,Treatment
136,134,Treatment
156,176,Treatment
179,137,Treatment
181,160,Treatment
182,139,Treatment
125,181,Treatment
47,177,Treatment
39,152,Treatment
171,172,Treatment
20,124,Treatment
57,111,Treatment
93,173,Treatment
157,164,Treatment
45,179,Treatment
137,235,Treatment
152,189,Treatment
173,130,Treatment
186,195,Treatment
169,117,Treatment
116,144,Treatment
67,157,Treatment
86,214,Treatment
200,135,Treatment
71,133,Treatment
158,156,Treatment
74,138,Treatment
95,195,Treatment
180,124,Treatment
34,122,Treatment
53,145,Treatment
154,143,Treatment
73,221,Treatment
23,189,Treatment
109,162,Treatment
50,120,Treatment
83,186,Treatment
153,127,Treatment
145,110,Treatment
42,197,Treatment
63,169,Treatment
126,188,Treatment
187,169,Treatment
10,186,Treatment
29,138,Treatment
192,126,Treatment
151,181,Treatment
144,133,Treatment
161,137,Treatment
174,144,Treatment
64,160,Treatment
100,148,Treatment
165,115,Treatment
143,138,Treatment
78,88,Treatment
9,179,Treatment
54,108,Treatment
85,124,Treatment
76,161,Treatment
17,135,Treatment
98,208,Treatment
33,118,Treatment
115,168,Treatment
113,158,Treatment
105,122,Treatment
122,176,Treatment
123,154,Treatment
60,184,Treatment
176,185,Treatment
70,228,Treatment
59,202,Treatment
111,147,Treatment
162,151,Treatment
5,194,Treatment
2,180,Treatment
184,179,Treatment
13,107,Treatment
1,158,Treatment
24,135,Treatment
167,168,Treatment
141,156,Treatment
