User ID,Measurement,Group
6604,14916,Control
6365,14560,Control
751,14842,Control
2181,14090,Control
6702,13803,Control
6105,14124,Control
1574,14360,Control
7576,14597,Control
3048,15726,Control
7823,14345,Control
2038,13796,Control
4666,14162,Control
6447,14092,Control
842,14659,Control
5511,13446,Control
1413,14408,Control
3862,14464,Control
3329,14509,Control
2613,14012,Control
6189,14227,Control
4675,13516,Control
5170,14074,Control
6041,14044,Control
5001,14620,Control
5030,13676,Control
1674,14839,Control
2345,15267,Control
1169,13128,Control
6087,14626,Control
1273,14776,Control
75,13988,Control
7303,14132,Control
2085,14290,Control
528,14191,Control
4072,14185,Control
229,13364,Control
1743,15061,Control
6620,15018,Control
6883,13882,Control
2729,13490,Control
2655,14683,Control
722,14025,Control
682,14455,Control
3043,14178,Control
3514,14785,Control
2851,14787,Control
233,13935,Control
7552,13540,Control
2170,13420,Control
3829,14736,Control
7256,13657,Control
6495,14066,Control
4858,14012,Control
6792,14338,Control
1020,13208,Control
2032,14483,Control
5168,14684,Control
2070,14423,Control
2080,14183,Control
4955,14428,Control
2020,14609,Control
1572,12706,Control
5725,15544,Control
6199,14604,Control
355,13979,Control
3174,14135,Control
808,14666,Control
1040,14300,Control
6679,13152,Control
6914,15609,Control
1440,14304,Control
2003,14982,Control
5163,13955,Control
3455,15292,Control
4760,14542,Control
3843,14735,Control
372,13743,Control
3561,15097,Control
4812,14784,Control
5776,15151,Control
5525,13993,Control
615,14081,Control
4269,15752,Control
645,13734,Control
6072,14288,Control
6704,15052,Control
6820,14429,Control
5110,14720,Control
1804,14130,Control
2203,14592,Control
1526,13586,Control
7991,15365,Control
1232,14299,Control
3481,13962,Control
2210,14770,Control
602,14094,Control
4625,13569,Control
1582,13562,Control
7636,14786,Control
6827,14274,Control
5529,14290,Control
4089,15017,Control
1479,13694,Control
5111,13932,Control
6923,14139,Control
4392,14427,Control
1508,14345,Control
892,14198,Control
7097,14333,Control
2325,14306,Control
1779,13938,Control
4660,13882,Control
7194,14535,Control
4781,13835,Control
84,13676,Control
489,14183,Control
4103,14275,Control
3840,15724,Control
7307,13947,Control
5938,14936,Control
7678,14818,Control
5192,13657,Control
3463,14834,Control
4140,13660,Control
5890,12774,Control
5233,14734,Control
7795,13316,Control
7926,14641,Control
3676,13960,Control
7448,15366,Control
7292,15011,Control
1345,14098,Control
5899,13957,Control
683,13642,Control
5812,14105,Control
5763,14202,Control
6665,14151,Control
791,14464,Control
7137,14717,Control
6675,14580,Control
1434,13912,Control
4357,13507,Control
7645,15189,Control
7310,13956,Control
3624,13979,Control
7432,14057,Control
3002,13264,Control
1087,14083,Control
1080,14082,Control
6318,14742,Control
5564,14789,Control
1077,14372,Control
7764,14929,Control
5156,14574,Control
5626,14361,Control
572,14467,Control
1262,14256,Control
5327,14133,Control
5265,14209,Control
2175,13693,Control
3015,14538,Control
5117,13774,Control
6433,14875,Control
4949,14220,Control
3484,14400,Control
6866,14666,Control
5543,14756,Control
6573,13428,Control
4568,14246,Control
140,14898,Control
5684,13351,Control
6892,14602,Control
4679,13017,Control
617,13756,Control
4644,14393,Control
4768,13376,Control
7695,13779,Control
4795,13487,Control
3904,15359,Control
7425,14469,Control
4052,14710,Control
3659,14236,Control
7390,14158,Control
5203,13400,Control
4631,14195,Control
5151,13913,Control
4790,14885,Control
7282,15055,Control
